Input.professor,Input.university,Input.urls,Answer.Bachelors,Answer.Doctorate,Answer.JoinYear,Answer.Masters,Answer.PostDoc,Answer.Rank,Answer.Subfield,Answer.URLs,Approve,Reject
theo benson,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=3930'>http://www.cs.duke.edu/people/faculty/?csid=3930</a>,Tufts University,University of Wisconsin,,University of Wisconsin,,Assistant,Computer Education,,,
henry m. levy,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/levy'>http://www.cs.washington.edu/people/faculty/levy</a>,,,,,,Other,Computer Education,http://www.cs.washington.edu/people/faculty/levy/,,
hÃ©lÃ¨ne martin,University of Washington,<a href='http://homes.cs.washington.edu/~ln'>http://homes.cs.washington.edu/~ln</a>,,,,,,,Algorithms & Theory,http://homes.cs.washington.edu/~ln/,,
ira kemelmacher-shlizerman,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/kemelmi'>http://www.cs.washington.edu/people/faculty/kemelmi</a>,,Weizmann Institute of Science,2012,,University of Washington,Assistant,Computer Vision,,,
ira kemelmacher-shlizerman,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/kemelmi'>http://www.cs.washington.edu/people/faculty/kemelmi</a>,,Weizmann Institute,2012,,UW CSE,Assistant,Computer Vision,http://homes.cs.washington.edu/~kemelmi/,,
thomas moelhave,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=2082'>http://www.cs.duke.edu/people/faculty/?csid=2082</a>,Duke University,Duke University,2009,Duke University,,Other,Computer Vision,www.cs.duke.edu/research/profiles/,,
vincent conitzer,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=1612'>http://www.cs.duke.edu/people/faculty/?csid=1612</a>,,Carnegie Mellon University,,Carnegie Mellon University,,Full,Artificial Intelligence,http://www.cs.duke.edu/people/faculty/?csid=1612,,
james landay,University of Washington,<a href='http://homes.cs.washington.edu/~landay'>http://homes.cs.washington.edu/~landay</a>,B.S. in EECS from UC Berkeley,Ph.D. in CS from Carnegie Mellon University,2013,M.S. from Carnegie Mellon University,,Full,Computer Education,http://homes.cs.washington.edu/~landay/research/cv.pdf,,
james lee,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/jrl'>http://www.cs.washington.edu/people/faculty/jrl</a>,,Berkeley,,,Institute for Advanced Study in Princeton.,Associate,Algorithms & Theory,http://www.cs.washington.edu/people/faculty/jrl,,
xiaobai sun,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=37'>http://www.cs.duke.edu/people/faculty/?csid=37</a>,,University of Maryland at College Park,,"Academia Sinica, Beijing, China",,Full,Scientific Computing,http://www.cs.duke.edu/people/faculty/?csid=37,,
jean-loup baer,University of Washington,<a href='http://homes.cs.washington.edu/~baer'>http://homes.cs.washington.edu/~baer</a>,,,1969,,,Full,Computer Education,http://homes.cs.washington.edu/~baer/,,
xiaowei yang,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=2164'>http://www.cs.duke.edu/people/faculty/?csid=2164</a>,"Tsinghua University, Beijing, China",Massachusetts Institute of Technology (MIT),,Massachusetts Institute of Technology (MIT),,Assistant,Networks & Communications,http://www.cs.duke.edu/people/faculty/?csid=2164,,
jeffrey heer,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/jheer'>http://www.cs.washington.edu/people/faculty/jheer</a>,"University of California, Berkeley","University of California, Berkeley",2009,"University of California, Berkeley",,Full,Data Mining,,,
john zahorjan,University of Washington,<a href='http://homes.cs.washington.edu/~zahorjan/homepage'>http://homes.cs.washington.edu/~zahorjan/homepage</a>,Brown University,University of Toronto,,,,Full,Algorithms & Theory,,,
adrian bors,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=adrian'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=adrian</a>,,University of Thessaloniki,2004,"Polytechnic University of Bucharest,",,Associate,Computer Education,http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=adrian,,
alistair edwards,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=alistair'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=alistair</a>,University of Warwick,"Educational Technology, The Open University",1989,the Pennsylvania State University,,Lecturer,Computer Education,http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=alistair,,
ana cavalcanti,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=alcc'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=alcc</a>,BSC,D.PHIL,1997,MSC,Oxford University,Full,Software Engineering,http://www-users.cs.york.ac.uk/~alcc/,,
andrew i. case,New York University,<a href='http://cs.nyu.edu/~acase'>http://cs.nyu.edu/~acase</a>,University of Alabama in Huntsville,,2013,New York University,,Assistant,Computer Education,http://cs.nyu.edu/~acase/,,
andrew i. case,New York University,<a href='http://cs.nyu.edu/~acase'>http://cs.nyu.edu/~acase</a>,New York University,,2013,University of Alabama in Huntsville,,Assistant,Scientific Computing,,,
larry ruzzo,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/ruzzo'>http://www.cs.washington.edu/people/faculty/ruzzo</a>,B.S. (in Mathematics) from the California Institute of Technology,Ph.D. (Computer Science) from the University of California at Berkeley,1977,,,Full,Bioinformatics & Computational Biology,http://homes.cs.washington.edu/~ruzzo/,,
andy wellings,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=andy'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=andy</a>,,,,,,Full,Programming Languages,http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=andy,,
andy wellings,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=andy'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=andy</a>,University of York,,1979,,,Full,Programming Languages,http://www.linkedin.com/pub/andy-wellings/5/323/758,,
linda shapiro,University of Washington,<a href='http://homes.cs.washington.edu/~shapiro'>http://homes.cs.washington.edu/~shapiro</a>,University of Illinois,University of Iowa,1986,University of Iowa,,Full,Artificial Intelligence,http://homes.cs.washington.edu/~shapiro/biography.html,,
luis ceze,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/luisceze'>http://www.cs.washington.edu/people/faculty/luisceze</a>,"University of SÃ£o Paulo,",University of Illinois,2007,"University of SÃ£o Paulo,",,Associate,Hardware & Architecture,,,
luis ceze,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/luisceze'>http://www.cs.washington.edu/people/faculty/luisceze</a>,"University of SÃ£o Paulo, Brazil",University of Illinois at Urbana-Champaign,,"University of SÃ£o Paulo, Brazil",,Associate,Operating Systems,http://www.cs.washington.edu/people/faculty/luisceze,,
luke zettlemoyer,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/lsz'>http://www.cs.washington.edu/people/faculty/lsz</a>,,MIT,,,University of Edinburgh,,Algorithms & Theory,http://www.cs.washington.edu/people/faculty/lsz,,
luke zettlemoyer,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/lsz'>http://www.cs.washington.edu/people/faculty/lsz</a>,,Massachusetts Institute of Technology (MIT),,,,Assistant,Algorithms & Theory,http://www.cs.washington.edu/people/faculty/lsz,,
bhubaneswar mishra,New York University,<a href='http://cs.nyu.edu/cs/faculty/mishra'>http://cs.nyu.edu/cs/faculty/mishra</a>,ECE from IIT (Kgp),"CMU,",N/A,"CMU,",,Adjunct,Computer Education,,,
magdalena balazinska,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/magda'>http://www.cs.washington.edu/people/faculty/magda</a>,,MIT,,,,Associate,Scientific Computing,,,
mark oskin,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/oskin'>http://www.cs.washington.edu/people/faculty/oskin</a>,,,,,,,Algorithms & Theory,http://www.cs.washington.edu/people/faculty/oskin/,,
chee k. yap,New York University,<a href='http://cs.nyu.edu/cs/faculty/yap'>http://cs.nyu.edu/cs/faculty/yap</a>,MIT,Yale University,1981,,,Full,Algorithms & Theory,,,
chee yap,New York University,<a href='http://cs.nyu.edu/cs/faculty/yap'>http://cs.nyu.edu/cs/faculty/yap</a>,Massachusetts Institute of Technology (MIT),Yale University,,,,Full,Algorithms & Theory,http://cs.nyu.edu/cs/faculty/yap/,,
christoph bregler,New York University,<a href='http://cs.nyu.edu/~bregler'>http://cs.nyu.edu/~bregler</a>,"University of Karlsruhe, Germany","University of California, Berkeley",2002,"University of California, Berkeley",,Full,Multimedia,http://cims.nyu.edu/~bregler/bregler-CV.pdf,,
christoph bregler,New York University,<a href='http://cs.nyu.edu/~bregler'>http://cs.nyu.edu/~bregler</a>,"ManhattanMocap, LLC","ManhattanMocap, LLC",,"ManhattanMocap, LLC",,Full,Computer Education,http://cs.nyu.edu/~bregler/,,
matt reynolds,University of Washington,<a href='http://fds.duke.edu/db/pratt/ECE/matt.reynolds'>http://fds.duke.edu/db/pratt/ECE/matt.reynolds</a>,Massachusetts Institute of Technology,Massachusetts Institute of Technology,2012,Massachusetts Institute of Technology,,Assistant,Computer Education,http://fds.duke.edu/db/pratt/ECE/matt.reynolds,,
christopher crispin-bailey,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=chrisb'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=chrisb</a>,,,1999,,,Lecturer,Computer Education,http://www-users.cs.york.ac.uk/~chrisb/,,
matthew s. reynolds,University of Washington,<a href='http://fds.duke.edu/db/pratt/ECE/matt.reynolds'>http://fds.duke.edu/db/pratt/ECE/matt.reynolds</a>,Massachusetts Institute of Technology (MIT),"Massachusetts Institute of Technology (MIT),",2008,"Massachusetts Institute of Technology (MIT),",,Assistant,Computer Education,http://fds.duke.edu/db/pratt/ECE/matt.reynolds,,
clark w. barrett,New York University,<a href='http://cs.nyu.edu/~barrett'>http://cs.nyu.edu/~barrett</a>,,,,,,Associate,Computer Education,http://www.cs.nyu.edu/~barrett/,,
craig kapp,New York University,<a href='http://cims.nyu.edu/~kapp'>http://cims.nyu.edu/~kapp</a>,,,,,,Assistant,Algorithms & Theory,http://cims.nyu.edu/~kapp/,,
oren etzioni,University of Washington,<a href='http://homes.cs.washington.edu/~etzioni'>http://homes.cs.washington.edu/~etzioni</a>,Harvard University,Carnegie Mellon University,1991,,,Full,Computer Education,http://homes.cs.washington.edu/~etzioni/bio.html,,
david sontag,New York University,<a href='http://www.cs.nyu.edu/~dsontag'>http://www.cs.nyu.edu/~dsontag</a>,UC Berkeley,MIT,,,Microsoft Research New England,Assistant,Computer Education,,,
denis zorin,New York University,<a href='http://mrl.nyu.edu/~dzorin'>http://mrl.nyu.edu/~dzorin</a>,,,,,,Full,Scientific Computing,http://mrl.nyu.edu/~dzorin/,,
richard anderson,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/anderson'>http://www.cs.washington.edu/people/faculty/anderson</a>,Reed College,Stanford University,1986,,"Mathematical Sciences Research Institute in Berkeley, CA",Full,Computer Education,,,
richard anderson,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/anderson'>http://www.cs.washington.edu/people/faculty/anderson</a>,Reed Universtiy,Stanford University,1986,Reed Universtiy,Mathematical sciences Research Institute,Full,Computer Education,http://www.cs.washington.edu/people/faculty/anderson,,
richard e. ladner,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/ladner'>http://www.cs.washington.edu/people/faculty/ladner</a>,St. Mary's College of California,University of California,1971,,na,Full,Computer Education,http://www.cs.washington.edu/people/faculty/ladner/,,
richard e. ladner,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/ladner'>http://www.cs.washington.edu/people/faculty/ladner</a>,St. Mary's College of California,"University of California, Berkeley",,,,Adjunct,Algorithms & Theory,http://www.cs.washington.edu/people/faculty/ladner,,
shayan oveis gharan,University of Washington,<a href='http://www.stanford.edu/~shayan/about_me.html'>http://www.stanford.edu/~shayan/about_me.html</a>,,,Huang Engineering Center,,,Other,Software Engineering,http://www.stanford.edu/search/?cx=003265255082301896483%3Asq5n7qoyfh8&cof=FORID%3A9&ie=UTF-8&q=shayan+oveis+gharan&sa=Search,,
dr alan wood,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=wood'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=wood</a>,,,,,,Lecturer,Programming Languages,http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=wood,,
dr alan wood,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=wood'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=wood</a>,,,1998,,,Lecturer,Computer Education,http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=wood,,
steve gribble,University of Washington,<a href='http://homes.cs.washington.edu/~gribble'>http://homes.cs.washington.edu/~gribble</a>,University of British Columbia,UC Berkeley.,2000,UC Berkeley.,,Full,Computer Education,http://homes.cs.washington.edu/~gribble/biography.html,,
steven seitz,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/seitz'>http://www.cs.washington.edu/people/faculty/seitz</a>,University of California,University of Wisconsin,2000,,,Full,Graphics,http://www.cs.washington.edu/people/faculty/seitz,,
steven seitz,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/seitz'>http://www.cs.washington.edu/people/faculty/seitz</a>,University of California,University of Wisconsin,2000,,,Associate,Computer Vision,http://homes.cs.washington.edu/~seitz/,,
stuart reges,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/reges'>http://www.cs.washington.edu/people/faculty/reges</a>,University of Washington,N/A,2004,N/A,N/A,Lecturer,Algorithms & Theory,http://www.cs.washington.edu/node/279/,,
stuart reges,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/reges'>http://www.cs.washington.edu/people/faculty/reges</a>,Case Western Reserve University,N/A,2004,Stanford University,N/A,Lecturer,Programming Languages,http://www.linkedin.com/pub/stuart-reges/5/5b5/517,,
dr simon o'keefe,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=sok'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=sok</a>,"Natural Science/Engineering, University of Cambridge","Computer Science, University of York",,"Operational Research, University of Lancaster",,Lecturer,Networks & Communications,http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=sok,,
dr suresh manandhar,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=suresh'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=suresh</a>,University of Edinburgh,University of Edinburgh,1996,University of Edinburgh,University of Edinburgh,Lecturer,Natural Language & Speech,https://pure.york.ac.uk/portal/en/researchers/suresh-kumar-manandhar(8203db62-862a-47f3-9507-71cba0d699a0)/publications.html,,
eran fishler,New York University,<a href='http://cs.nyu.edu/~fishler'>http://cs.nyu.edu/~fishler</a>,,,,,,,Algorithms & Theory,http://cs.nyu.edu/~fishler/,,
ernest davis,New York University,<a href='http://cs.nyu.edu/cs/faculty/davise'>http://cs.nyu.edu/cs/faculty/davise</a>,MIT,Yale University,1983,N/A,N/A,Full,Artificial Intelligence,http://cs.nyu.edu/cs/faculty/davise/vita.pdf,,
tom anderson,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/tom'>http://www.cs.washington.edu/people/faculty/tom</a>,Harvard University,University of Washington.,2009,", University of Washington.",,Full,Operating Systems,http://homes.cs.washington.edu/~tom/cv.pdf,,
evan korth,New York University,<a href='http://cs.nyu.edu/~korth'>http://cs.nyu.edu/~korth</a>,Courant Institute of Mathematical Sciences at NYU,,2013,,,Full,Computer Education,http://cs.nyu.edu/~korth/compsoc/index.html,,
tom daniel,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/danielt'>http://www.cs.washington.edu/people/faculty/danielt</a>,,Duke university,1984,,,Full,Bioinformatics & Computational Biology,http://www.cs.washington.edu/people/faculty/danielt,,
zachary tatlock,University of Washington,<a href='http://homes.cs.washington.edu/~ztatlock'>http://homes.cs.washington.edu/~ztatlock</a>,Perdue,"University of California, San Diego",2013,,University of Washington,Assistant,Scientific Computing,http://www.linkedin.com/pub/zachary-tatlock/63/66/522,,
zoran popovic,University of Washington,<a href='http://homes.cs.washington.edu/~zoran'>http://homes.cs.washington.edu/~zoran</a>,Brown University,Carnegie Mellon University,1999,Carnegie Mellon University,,Full,Graphics,,,
zoran popoviÄ‡,University of Washington,<a href='http://homes.cs.washington.edu/~zoran'>http://homes.cs.washington.edu/~zoran</a>,Brown University,Carnegie Mellon University,,Carnegie Mellon University,,Full,Graphics,http://homes.cs.washington.edu/~zoran/,,
zoran popoviÄ‡,University of Washington,<a href='http://homes.cs.washington.edu/~zoran'>http://homes.cs.washington.edu/~zoran</a>,Brown University,Carnegie Mellon University,1999,Brown University,,Full,Computer Education,,,
helen nissenbaum,New York University,<a href='http://www.nyu.edu/projects/nissenbaum'>http://www.nyu.edu/projects/nissenbaum</a>,1975-1976,1983,2001,1978,,Full,Natural Language & Speech,http://www.nyu.edu/projects/nissenbaum/main_cv.html,,
helen petrie,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=petrie'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=petrie</a>,Melbourne,London,,London,,Full,Computer Education,http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=petrie,,
adam klivans,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/faculty/klivans'>http://www.cs.utexas.edu/faculty/klivans</a> or <a href='http://www.cs.utexas.edu/~klivans'>http://www.cs.utexas.edu/~klivans</a>,,"Massachusetts Institute of Technology (MIT),",,,Harvard,Associate,Artificial Intelligence,http://www.cs.utexas.edu/faculty/klivans ; http://www.cs.utexas.edu/~klivans/,,
howard chivers,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=howard'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=howard</a>,,,,,,Lecturer,Networks & Communications,http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=howard,,
howard chivers,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=howard'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=howard</a>,,,,,,Lecturer,Networks & Communications,http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=howard,,
james cussens,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=jc'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=jc</a>,Warwick,King's College London,1997,,,Lecturer,Artificial Intelligence,http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=jc,,
alison n. norman,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~ans'>http://www.cs.utexas.edu/~ans</a>,Georgia Tech,,,,,Lecturer,Computer Education,http://www.cs.utexas.edu/~ans/,,
jiawei zhang,New York University,<a href='http://pages.stern.nyu.edu/~jzhang'>http://pages.stern.nyu.edu/~jzhang</a>,New York University,New York University,2006,New York University,,Associate,Human-Computer Interaction,scholar.google.co.in/citations?user=zK4uegoAAAAJ&hl=en,,
aloysius k. mok,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~mok/mok.html'>http://www.cs.utexas.edu/~mok/mok.html</a> or <a href='http://www.cs.utexas.edu/faculty/mok'>http://www.cs.utexas.edu/faculty/mok</a>,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,Massachusetts Institute of Technology,,Full,Algorithms & Theory,https://www.cs.utexas.edu/faculty/mok,,
jinyang li æù_é‡‘æ‰¬,New York University,<a href='http://www.news.cs.nyu.edu/~jinyang'>http://www.news.cs.nyu.edu/~jinyang</a>,N ATIONAL U NIVERSITY OF S INGAPORE,M ASSACHUSETTS I NSTITUTE OF T ECHNOLOGY,2012,,,Associate,Computer Education,http://www.news.cs.nyu.edu/~jinyang/cv.pdf,,
joanna klukowska,New York University,<a href='http://cs.nyu.edu/~joannakl'>http://cs.nyu.edu/~joannakl</a>,"Hunter College of CUNY,","Graduate Center of CUNY,",2013,Brooklyn College of CUNY,,Adjunct,Computer Education,http://cs.nyu.edu/~joannakl/,,
joanna klukowska,New York University,<a href='http://cs.nyu.edu/~joannakl'>http://cs.nyu.edu/~joannakl</a>,Hunter College of CUNY,Graduate Center of CUNY,2013,Brooklyn College of CUNY,,Visiting,Computer Education,,,
joel spencer,New York University,<a href='http://cs.nyu.edu/cs/faculty/spencer'>http://cs.nyu.edu/cs/faculty/spencer</a>,"Massachusetts Institute of Technology,",Harvard University,2014,Harvard University,,Full,Computer Education,http://cs.nyu.edu/cs/faculty/spencer/papers/vitashort.pdf,,
